market,up,down,amount,limit up,new limit up
All,3156,960,65382134,71,4
ZhuBan,2233,713,51326899,67,4
ChuangYe,722,191,12232153,3,0
KeChuang,201,56,1823080,1,0
ts_code,name,close,pct_chg,turnover_rate,volume_ratio,pe,total_mv,circ_mv,area,industry,market,list_date
300272.SZ ,开能健康,6.35,20.04,17.96,4.87,36.44,366313.38,260902.32,上海,环境保护,创业板,20111102.00
688068.SH ,热景生物,83.57,20.00,21.57,5.15,153.43,519774.82,359587.26,北京,医疗保健,科创板,20190930.00
300100.SZ ,双林股份,9.72,20.00,7.25,4.25,0.00,395172.33,370454.91,浙江,汽车服务,创业板,20100806.00
300437.SZ ,清水源,11.36,19.96,26.97,7.48,21.80,251322.65,155130.43,河南,化工原料,创业板,20150423.00
002141.SZ ,贤丰控股,2.71,10.16,8.76,3.35,384.01,307491.92,172511.13,广东,元器件,中小板,20070720.00
002103.SZ ,广博股份,5.12,10.11,18.44,1.74,213.10,273547.75,184878.75,浙江,文教休闲,中小板,20070110.00
600828.SH ,茂业商业,4.14,10.11,1.17,10.19,33.66,717040.77,716783.11,四川,百货,主板,19940224.00
000908.SZ ,景峰医药,5.56,10.10,8.72,0.81,0.00,489154.54,402176.21,湖南,化学制药,主板,19990203.00
002400.SZ ,省广集团,6.22,10.09,11.52,1.19,72.54,1084355.69,1039122.27,广东,广告包装,中小板,20100506.00
600202.SH ,哈空调,5.24,10.08,22.63,14.76,39.85,200870.51,200870.51,黑龙江,电气设备,主板,19990603.00
002209.SZ ,达意隆,6.88,10.08,9.74,3.61,0.00,134327.91,106312.91,广东,轻工机械,中小板,20080130.00
600257.SH ,大湖股份,6.89,10.06,0.98,0.27,0.00,331572.42,331572.42,湖南,渔业,主板,20000612.00
002306.SZ ,中科云网,3.50,10.06,2.01,1.38,0.00,294000.00,277544.71,北京,酒店餐饮,中小板,20091111.00
002154.SZ ,报喜鸟,3.83,10.06,2.88,0.90,22.20,466345.35,425115.27,浙江,服饰,中小板,20070816.00
600499.SH ,科达制造,9.86,10.04,4.26,1.49,156.03,1861982.05,1555124.82,广东,专用机械,主板,20021010.00
002168.SZ ,惠程科技,5.04,10.04,24.70,8.11,29.94,404172.50,399600.63,深圳,互联网,中小板,20070919.00
002806.SZ ,华锋股份,10.30,10.04,8.95,1.46,53.10,181834.40,115476.64,广东,元器件,中小板,20160726.00
000793.SZ ,华闻集团,3.29,10.03,17.96,2.75,62.82,657093.76,645171.83,海南,出版业,主板,19970729.00
605118.SH ,力鼎光电,16.89,10.03,12.19,0.90,37.79,684889.50,69249.00,福建,元器件,主板,20200730.00
605055.SH ,迎丰股份,17.01,10.03,68.98,1.17,65.66,748440.00,136080.00,浙江,纺织,主板,20210129.00
603920.SH ,世运电路,17.12,10.03,1.70,1.31,21.32,701055.78,696888.77,广东,元器件,主板,20170426.00
002248.SZ ,华东数控,4.94,10.02,1.34,2.02,57.03,151902.83,146531.55,山东,机床制造,中小板,20080612.00
002703.SZ ,浙江世宝,5.27,10.02,1.93,2.44,101.88,416142.72,291465.76,浙江,汽车配件,中小板,20121102.00
003015.SZ ,日久光电,16.14,10.02,26.55,1.61,45.78,453641.60,113410.40,江苏,元器件,中小板,20201021.00
002969.SZ ,嘉美包装,5.38,10.02,1.97,4.53,30.05,516659.44,238967.21,安徽,广告包装,中小板,20191202.00
603139.SH ,康惠制药,18.01,10.02,2.59,6.97,42.07,179883.88,179883.88,陕西,中成药,主板,20170421.00
600769.SH ,祥龙电业,6.37,10.02,5.33,1.02,774.46,238860.48,238860.48,湖北,建筑工程,主板,19961101.00
605198.SH ,德利股份,31.96,10.02,14.17,0.73,77.34,1173890.80,63920.00,山东,软饮料,主板,20200918.00
003041.SZ ,真爱美家,45.93,10.01,0.61,0.91,36.42,459300.00,114825.00,浙江,纺织,中小板,20210406.00
003043.SZ ,华亚智能,50.55,10.01,2.84,10.96,56.31,404400.00,101100.00,江苏,专用机械,中小板,20210406.00
605388.SH ,均瑶健康,20.55,10.01,16.46,1.95,29.92,883650.00,143850.00,湖北,软饮料,主板,20200818.00
600389.SH ,江山股份,22.75,10.01,2.56,2.08,22.52,675675.00,675675.00,江苏,农药化肥,主板,20010110.00
603721.SH ,中广天择,13.41,10.01,6.23,2.48,90.10,174330.00,174330.00,湖南,影视音像,主板,20170811.00
603439.SH ,贵州三力,21.99,10.01,18.92,0.81,67.30,895701.55,89587.26,贵州,中成药,主板,20200428.00
603324.SH ,盛剑环境,46.08,10.00,8.53,16.10,46.96,571023.36,142788.11,上海,环境保护,主板,20210407.00
600710.SH ,苏美达,6.82,10.00,5.41,1.12,20.22,891203.11,891203.11,江苏,工程机械,主板,19960701.00
000963.SZ ,华东医药,38.50,10.00,2.94,1.04,23.95,6736766.76,6736669.57,浙江,化学制药,主板,20000127.00
601611.SH ,中国核建,8.69,10.00,2.63,2.16,19.08,2302519.45,2281143.35,上海,建筑工程,主板,20160606.00
601005.SH ,重庆钢铁,2.64,10.00,9.17,1.84,36.88,2354511.00,2212445.42,重庆,普钢,主板,20070228.00
002192.SZ ,融捷股份,47.63,10.00,4.65,0.98,587.67,1236737.73,1234189.65,广东,专用机械,中小板,20071205.00
002466.SZ ,天齐锂业,37.29,10.00,6.24,1.73,0.00,5508103.60,5494468.41,四川,小金属,中小板,20100831.00
600712.SH ,南宁百货,4.18,10.00,1.64,1.79,0.00,227665.94,225039.45,广西,百货,主板,19960626.00
600405.SH ,动力源,6.38,10.00,6.18,0.54,321.09,355457.84,352989.74,北京,电气设备,主板,20040401.00
605318.SH ,法狮龙,18.37,10.00,8.97,0.55,28.02,237287.41,59321.85,浙江,装修装饰,主板,20200803.00
600200.SH ,江苏吴中,7.15,10.00,14.51,4.34,78.93,509358.01,509358.01,江苏,化学制药,主板,19990401.00
002850.SZ ,科达利,65.58,10.00,2.10,2.31,85.51,1527492.32,852620.96,深圳,机械基件,中小板,20170302.00
605378.SH ,野马电池,30.70,10.00,0.27,0.00,34.49,409353.80,102353.80,浙江,电气设备,主板,20210412.00
605218.SH ,伟时电子,16.29,9.99,16.98,1.51,33.31,346705.71,86676.43,江苏,元器件,主板,20200928.00
003010.SZ ,若羽臣,31.48,9.99,13.79,0.83,43.28,383111.10,95793.64,广东,互联网,中小板,20200925.00
002756.SZ ,永兴材料,48.00,9.99,5.67,1.65,56.72,1948560.72,1270674.29,浙江,特种钢,中小板,20150515.00
003040.SZ ,楚天龙,30.61,9.99,55.96,35.47,135.49,1411537.21,239961.33,广东,元器件,中小板,20210322.00
605136.SH ,丽人丽妆,35.90,9.99,24.66,1.12,42.47,1441851.70,143635.90,上海,其他商业,主板,20200929.00
603386.SH ,广东骏亚,17.62,9.99,2.44,0.92,32.92,395291.68,372442.48,广东,元器件,主板,20170912.00
605268.SH ,王力安防,17.51,9.99,35.51,1.37,36.04,763436.00,117317.00,浙江,家居用品,主板,20210224.00
003029.SZ ,吉大正元,30.51,9.99,14.98,0.85,61.88,550400.40,137600.10,吉林,软件服务,中小板,20201224.00
603817.SH ,海峡环保,7.27,9.98,3.60,1.60,25.16,327154.13,327154.13,福建,环境保护,主板,20170220.00
000936.SZ ,华西股份,6.50,9.98,4.37,6.22,10.25,575908.38,575493.52,江苏,化纤,主板,19990810.00
000917.SZ ,电广传媒,5.51,9.98,5.73,10.27,70.30,781073.54,780930.57,湖南,影视音像,主板,19990325.00
