ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb,,,
000001.SH,20210421,3472.93,3456.3,3481.25,3450.11,3472.94,-0.01,0,253777859,323914146.2,15.22,1.51,,,
000005.SH,20210421,3162.94,3122.71,3169.42,3121.22,3136.51,26.44,0.84,19426309,23365933,14.7,1.46,,,
000300.SH,20210421,5098.74,5055.24,5110.56,5047.99,5083.37,15.38,0.3,124637277,242574995.3,15.19,1.68,,,
000905.SH,20210421,6420.26,6396.27,6434.63,6369.77,6428.54,-8.28,-0.13,121051733,128354894.3,26.01,2.06,,,
399001.SZ,20210421,14151.15,14010.59,14176.95,13978.57,14101.9,49.24,0.35,334944494,419609534.1,30.53,3.45,,,
399006.SZ,20210421,2916.97,2873.36,2920.72,2867.21,2896.11,20.87,0.72,76179405,136018044.4,68.2,7.63,,,
market,up,down,amount,limit up,new limit up,,,,,,,,,,
全部,1496,2628,74331271,42,5,,,,,,,,,,
主板,1066,1875,58125865,38,2,,,,,,,,,,
创业板,334,589,13601804,3,2,,,,,,,,,,
科创板,96,164,2603601,1,1,,,,,,,,,,
ts_code,trade_date,name,industry,market,open,close,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
300975.SZ,20210421,商络电子,元器件,创业板,25,30.12,5.48,24.64,449.63,76.48,0,84.56,9.48,918541.24,20210421
300980.SZ,20210421,祥源新材,塑料,创业板,56,54.54,32.77,21.77,66.43,50.68,0,52.33,4.73,532670.29,20210421
688201.SH,20210421,信安世纪,通信设备,科创板,42.3,41.17,26.78,14.39,53.73,70,0,35.73,6.83,583769.62,20210421
605098.SH,20210421,行动教育,文教休闲,主板,33.1,39.72,27.58,12.14,44.02,1.28,0,31.39,3.47,10753.13,20210421
605016.SH,20210421,百龙创园,食品,主板,17.54,21.05,14.62,6.43,43.98,0.89,0,27.93,2.39,5959.03,20210421
300061.SZ,20210421,旗天科技,互联网,创业板,4.94,5.89,4.91,0.98,19.96,16.22,1.43,74.52,2.02,469239.58,20100319
002141.SZ,20210421,贤丰控股,元器件,中小板,2.75,3.05,2.77,0.28,10.11,9.15,0.92,0,4.43,169972.23,20070720
601279.SH,20210421,英利汽车,汽车配件,主板,4.37,4.37,3.97,0.4,10.08,0.2,0,39.52,1.87,1312.36,20210415
002173.SZ,20210421,创新医疗,医疗保健,中小板,7.12,7.76,7.05,0.71,10.07,4.59,1.45,0,1.63,128482.53,20070925
600185.SH,20210421,格力地产,区域地产,主板,6.82,7.55,6.86,0.69,10.06,3.47,0.89,29.57,1.85,521532.67,19990611
603998.SH,20210421,方盛制药,中成药,主板,5.59,6.13,5.57,0.56,10.05,4.03,2.1,33.36,2.29,104667.53,20141205
600149.SH,20210421,廊坊发展,综合类,主板,6.13,6.13,5.57,0.56,10.05,2.05,0.94,215.59,13.83,47727.48,19991014
002570.SZ,20210421,贝因美,乳制品,中小板,5.84,6.57,5.97,0.6,10.05,26.13,4.27,0,4.65,1712847.96,20110412
002786.SZ,20210421,银宝山新,专用机械,中小板,7.41,8.87,8.06,0.81,10.05,12.71,4.28,0,3.17,405783.72,20151223
002571.SZ,20210421,德力股份,玻璃,中小板,11.28,11.28,10.25,1.03,10.05,2.63,1.32,859.45,3.07,88079.56,20110412
603178.SH,20210421,圣龙股份,汽车配件,主板,8.87,9.86,8.96,0.9,10.04,2.58,1.91,35.67,2.84,49601.03,20170328
000919.SZ,20210421,金陵药业,化学制药,主板,7.16,8,7.27,0.73,10.04,3.62,0.64,61.9,1.41,142069.3,19991118
002728.SZ,20210421,特一药业,中成药,中小板,11.69,12.5,11.36,1.14,10.04,4.39,6.64,58.06,2.38,67683.95,20140731
