ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210422,3465.11,3482.83,3485.36,3456.32,3472.93,-7.82,-0.23,251114510.00,317081034.90,15.18,1.51
000005.SH,20210422,3155.74,3169.21,3170.96,3145.53,3162.94,-7.20,-0.23,15843560.00,20875412.40,14.63,1.46
000300.SH,20210422,5089.24,5114.28,5119.22,5067.14,5098.74,-9.50,-0.19,121167645.00,241488845.80,15.18,1.68
000905.SH,20210422,6445.47,6444.28,6472.80,6424.75,6420.26,25.21,0.39,124923877.00,131906162.20,26.16,2.07
399001.SZ,20210422,14209.44,14219.24,14244.49,14091.11,14151.15,58.30,0.41,323863295.00,423840346.90,30.91,3.46
399006.SZ,20210422,2939.39,2941.30,2950.23,2901.92,2916.97,22.42,0.77,76739357.00,145359577.60,75.38,7.69
market,trade_date,up,down,amount,limit up,new limit up
全部,20210422,2127,1923,740685128,49,0
主板,20210422,1427,1451,568285303,45,0
创业板,20210422,545,367,145359577,4,0
科创板,20210422,155,105,27040247,0,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
300153.SZ,20210422,科泰电源,电气设备,创业板,5.03,6.05,6.05,5.03,5.04,1.01,20.04,11.01,9.63,586.31,2.17,199493.86,20101229
300061.SZ,20210422,旗天科技,互联网,创业板,5.86,7.07,7.07,5.70,5.89,1.18,20.03,16.58,1.21,89.45,2.42,593229.71,20100319
300829.SZ,20210422,金丹科技,食品,创业板,61.66,73.74,73.74,61.17,61.45,12.29,20.00,23.87,4.38,69.60,6.40,462852.86,20200422
300783.SZ,20210422,三只松鼠,食品,创业板,51.00,61.11,61.13,49.77,50.94,10.17,19.96,7.70,4.77,81.33,10.69,1031304.38,20190712
002248.SZ,20210422,华东数控,机床制造,中小板,5.75,6.33,6.33,5.53,5.75,0.58,10.09,11.03,1.63,73.08,40.20,197317.61,20080612
002435.SZ,20210422,长江健康,化学制药,中小板,6.44,6.44,6.44,6.44,5.85,0.59,10.09,0.55,0.13,0.00,1.54,42568.68,20100618
002137.SZ,20210422,实益达,通信设备,中小板,5.51,6.01,6.01,5.46,5.46,0.55,10.07,6.65,5.15,39.87,2.36,148578.66,20070613
000705.SZ,20210422,浙江震元,医药商业,主板,7.25,7.98,7.98,7.25,7.25,0.73,10.07,5.92,5.16,29.83,1.53,131364.78,19970410
601279.SH,20210422,英利汽车,汽车配件,主板,4.81,4.81,4.81,4.81,4.37,0.44,10.07,0.15,0.56,43.50,2.05,1079.43,20210415
600769.SH,20210422,祥龙电业,建筑工程,主板,6.90,7.56,7.56,6.90,6.87,0.69,10.04,17.26,1.40,536.07,45.13,467723.93,19961101
002885.SZ,20210422,京泉华,元器件,中小板,13.09,14.36,14.36,13.03,13.05,1.31,10.04,8.39,1.68,49.65,3.22,140592.22,20170627
603009.SH,20210422,北特科技,汽车配件,主板,5.55,6.14,6.14,5.54,5.58,0.56,10.04,2.81,1.05,0.00,1.39,56210.40,20140718
603518.SH,20210422,锦泓集团,服饰,主板,7.80,8.01,8.01,7.17,7.28,0.73,10.03,11.07,4.76,18.57,1.28,216717.88,20141203
605016.SH,20210422,百龙创园,食品,主板,23.16,23.16,23.16,23.16,21.05,2.11,10.02,0.27,0.00,30.73,2.63,1997.67,20210421
002997.SZ,20210422,瑞鹄模具,汽车配件,中小板,18.51,20.97,20.97,18.08,19.06,1.91,10.02,43.36,1.70,28.33,3.64,380708.94,20200903
605086.SH,20210422,龙高股份,矿物制品,主板,27.12,27.12,27.12,27.12,24.65,2.47,10.02,0.56,0.00,45.55,3.60,4882.96,20210416
002430.SZ,20210422,杭氧股份,化工机械,中小板,32.02,33.39,33.39,32.00,30.35,3.04,10.02,1.44,2.36,38.20,4.84,461911.35,20100610
002580.SZ,20210422,圣阳股份,电气设备,中小板,7.36,7.36,7.36,6.99,6.69,0.67,10.01,28.25,3.54,116.61,1.95,643595.21,20110506
003040.SZ,20210422,楚天龙,元器件,中小板,29.86,32.74,32.74,28.92,29.76,2.98,10.01,60.24,1.03,144.92,11.14,1464447.05,20210322
002991.SZ,20210422,甘源食品,食品,中小板,75.08,82.89,82.89,75.04,75.35,7.54,10.01,7.42,1.67,43.10,5.44,140046.23,20200731
600315.SH,20210422,上海家化,日用化工,主板,49.80,49.80,49.80,49.80,45.27,4.53,10.01,0.30,0.48,78.48,5.03,101832.98,20010315
601127.SH,20210422,小康股份,汽车配件,主板,30.60,34.74,34.74,30.35,31.58,3.16,10.01,9.91,2.09,672.28,7.16,3193556.85,20160615
605117.SH,20210422,德业股份,家用电器,主板,57.06,57.06,57.06,57.06,51.87,5.19,10.01,0.15,0.00,25.46,4.44,3696.00,20210420
002372.SZ,20210422,伟星新材,其他建材,中小板,23.11,25.18,25.18,23.06,22.89,2.29,10.00,1.08,0.97,33.61,9.27,376795.49,20100318
600460.SH,20210422,士兰微,半导体,主板,27.70,29.69,29.69,27.30,26.99,2.70,10.00,8.68,2.16,576.28,11.30,3317944.45,20030311
003026.SZ,20210422,中晶科技,半导体,中小板,78.10,85.25,85.25,77.90,77.50,7.75,10.00,16.32,0.77,127.13,11.38,336887.78,20201218
603076.SH,20210422,乐惠国际,专用机械,主板,63.00,67.65,67.65,61.62,61.50,6.15,10.00,5.30,1.47,55.19,4.63,261553.91,20171113
000615.SZ,20210422,奥园美谷,化纤,主板,13.20,13.64,13.64,13.00,12.40,1.24,10.00,4.09,0.99,881.35,6.22,428606.48,19961016
002241.SZ,20210422,歌尔股份,元器件,中小板,35.00,38.06,38.06,34.40,34.60,3.46,10.00,7.05,2.30,45.65,5.51,7709770.83,20080522
002383.SZ,20210422,合众思壮,通信设备,中小板,7.25,8.14,8.14,7.24,7.40,0.74,10.00,17.54,2.61,0.00,3.53,807866.90,20100402
002728.SZ,20210422,特一药业,中成药,中小板,13.09,13.75,13.75,12.80,12.50,1.25,10.00,6.90,4.73,63.87,2.62,117048.36,20140731
002612.SZ,20210422,朗姿股份,服饰,中小板,43.19,46.21,46.21,42.44,42.01,4.20,10.00,18.42,1.80,347.84,6.92,2126266.97,20110830
603324.SH,20210422,盛剑环境,环境保护,主板,41.50,46.43,46.43,41.50,42.21,4.22,10.00,29.04,0.78,47.31,4.56,401783.34,20210407
003043.SZ,20210422,华亚智能,专用机械,中小板,85.59,89.56,89.56,85.59,81.42,8.14,10.00,34.40,0.67,99.76,9.57,606684.75,20210406
605098.SH,20210422,行动教育,文教休闲,主板,43.69,43.69,43.69,43.69,39.72,3.97,9.99,1.63,0.00,34.53,3.81,15000.17,20210421
003042.SZ,20210422,中农联合,农药化肥,中小板,35.93,39.51,39.51,35.80,35.92,3.59,9.99,31.06,1.08,41.88,2.83,323914.99,20210406
603538.SH,20210422,美诺华,化学制药,主板,31.42,33.68,33.68,31.42,30.62,3.06,9.99,7.69,2.89,30.11,3.18,375903.53,20170407
603416.SH,20210422,信捷电气,电气设备,主板,63.99,67.91,67.91,63.99,61.74,6.17,9.99,4.19,2.99,28.78,5.96,255889.84,20161221
603466.SH,20210422,风语筑,文教休闲,主板,23.62,26.00,26.00,23.62,23.64,2.36,9.98,5.60,2.94,22.13,3.84,414060.81,20171020
600476.SH,20210422,湘邮科技,软件服务,主板,10.29,11.35,11.35,10.23,10.32,1.03,9.98,2.53,2.75,0.00,11.34,45328.76,20031210
002806.SZ,20210422,华锋股份,元器件,中小板,9.70,10.69,10.69,9.69,9.72,0.97,9.98,4.79,0.64,55.11,1.50,56509.95,20160726
002345.SZ,20210422,潮宏基,服饰,中小板,5.07,5.07,5.07,5.02,4.61,0.46,9.98,3.14,2.14,56.54,1.33,141969.20,20100128
