ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210426,3441.17,3484.11,3497.12,3438.57,3474.17,-33.00,-0.95,276970771.00,388161675.60,15.08,1.50
000005.SH,20210426,3098.79,3148.49,3161.44,3095.82,3138.24,-39.45,-1.26,15821705.00,23100672.20,14.42,1.43
000300.SH,20210426,5077.24,5156.59,5181.11,5072.96,5135.45,-58.22,-1.13,151381967.00,325760384.30,15.15,1.66
000905.SH,20210426,6442.65,6480.30,6546.64,6437.19,6462.76,-20.11,-0.31,144964139.00,166586765.80,26.11,2.07
399001.SZ,20210426,14224.45,14419.85,14529.43,14212.22,14351.86,-127.41,-0.89,374636821.00,520269595.10,31.19,3.45
399006.SZ,20210426,2969.40,3019.30,3057.12,2965.01,2994.49,-25.08,-0.84,93732277.00,190211252.30,71.82,7.68
market,trade_date,up,down,amount,limit up,new limit up
全部,20210426,1569,2576,908184737,52,0
主板,20210426,1043,1916,686083125,45,0
创业板,20210426,381,543,184719737,5,0
科创板,20210426,145,117,37381875,2,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
300344.SZ,20210426,立方数科,软件服务,创业板,4.21,4.97,4.97,4.21,4.14,0.83,20.05,10.35,12.62,155.76,4.36,154556.10,20120801
300162.SZ,20210426,雷曼光电,元器件,创业板,5.30,6.29,6.29,5.27,5.24,1.05,20.04,9.81,4.66,0.00,3.58,153113.03,20110113
688699.SH,20210426,明微电子,半导体,科创板,122.90,137.04,137.04,122.51,114.20,22.84,20.00,26.60,3.73,93.27,8.85,601491.85,20201218
688317.SH,20210426,之江生物,生物制药,科创板,73.08,86.30,86.30,73.03,71.92,14.38,19.99,27.57,1.84,18.03,4.93,933254.47,20210118
300563.SZ,20210426,神宇股份,通信设备,创业板,18.84,22.75,22.75,17.90,18.96,3.79,19.99,36.81,1.79,65.75,4.55,891139.39,20161114
300966.SZ,20210426,共同药业,化学制药,创业板,36.18,40.22,40.22,36.18,33.52,6.70,19.99,31.98,1.29,87.17,6.36,345593.60,20210409
300885.SZ,20210426,海昌新材,机械基件,创业板,36.05,39.68,39.68,35.66,33.07,6.61,19.99,31.77,4.68,50.69,4.49,240335.00,20200910
000150.SZ,20210426,宜华健康,医疗保健,主板,3.47,3.82,3.82,3.36,3.47,0.35,10.09,17.75,2.44,0.00,17.94,527855.05,20000807
002290.SZ,20210426,禾盛新材,家用电器,中小板,7.24,7.88,7.88,7.20,7.16,0.72,10.06,3.74,1.30,34.72,4.34,62415.95,20090903
002370.SZ,20210426,亚太药业,化学制药,中小板,4.13,4.38,4.38,4.10,3.98,0.40,10.05,6.54,1.08,86.17,5.15,129242.12,20100316
002742.SZ,20210426,三圣股份,其他建材,中小板,6.10,6.68,6.68,6.09,6.07,0.61,10.05,4.59,1.84,23.12,1.88,121304.15,20150217
600521.SH,20210426,华海药业,化学制药,主板,21.95,21.95,21.95,21.90,19.95,2.00,10.03,1.17,0.95,34.34,4.90,373822.78,20030304
000928.SZ,20210426,中钢国际,建筑工程,主板,8.00,9.00,9.00,7.94,8.18,0.82,10.02,7.97,1.07,18.79,1.96,869506.15,19990312
603161.SH,20210426,科华控股,汽车配件,主板,18.60,18.88,18.88,17.67,17.16,1.72,10.02,6.65,2.27,120.72,1.88,165721.73,20180105
002755.SZ,20210426,奥赛康,化学制药,中小板,15.70,15.70,15.70,15.70,14.27,1.43,10.02,0.77,0.65,18.66,4.80,18454.28,20150515
603776.SH,20210426,永安行,公共交通,主板,26.35,26.46,26.46,25.21,24.05,2.41,10.02,4.12,1.28,10.04,1.57,202346.74,20170817
601279.SH,20210426,英利汽车,汽车配件,主板,5.82,5.82,5.82,5.82,5.29,0.53,10.02,0.54,2.13,52.64,2.49,4721.42,20210415
000676.SZ,20210426,智度股份,互联网,主板,5.75,6.37,6.37,5.62,5.79,0.58,10.02,7.04,1.66,13.63,2.22,445088.15,19961224
603083.SH,20210426,剑桥科技,通信设备,主板,12.20,12.85,12.85,12.18,11.68,1.17,10.02,5.28,3.40,0.00,1.91,167355.21,20171110
002634.SZ,20210426,棒杰股份,服饰,中小板,6.70,7.36,7.36,6.61,6.69,0.67,10.01,4.32,4.01,88.84,4.47,101406.98,20111205
603538.SH,20210426,美诺华,化学制药,主板,40.76,40.76,40.76,40.76,37.05,3.71,10.01,5.33,0.85,36.43,3.85,321229.64,20170407
003002.SZ,20210426,壶化股份,化工原料,中小板,14.94,16.70,16.70,14.72,15.18,1.52,10.01,25.97,3.78,34.46,3.20,210827.08,20200922
002997.SZ,20210426,瑞鹄模具,汽车配件,中小板,24.28,25.38,25.38,23.76,23.07,2.31,10.01,45.43,1.11,34.29,4.41,519979.12,20200903
605098.SH,20210426,行动教育,文教休闲,主板,52.87,52.87,52.87,52.87,48.06,4.81,10.01,0.56,0.00,41.78,4.61,6282.23,20210421
605016.SH,20210426,百龙创园,食品,主板,28.03,28.03,28.03,28.03,25.48,2.55,10.01,1.24,0.00,37.20,3.19,11063.72,20210421
600587.SH,20210426,新华医疗,医疗保健,主板,15.00,15.94,15.94,15.00,14.49,1.45,10.01,7.36,2.89,7.52,1.49,467868.17,20020927
002971.SZ,20210426,和远气体,化工原料,中小板,20.56,20.56,20.56,20.03,18.69,1.87,10.01,3.28,2.22,37.77,3.02,71982.87,20200113
603976.SH,20210426,正川股份,医疗保健,主板,46.00,52.01,52.01,45.45,47.28,4.73,10.00,7.37,2.00,148.23,7.60,551738.52,20170822
600152.SH,20210426,维科技术,电气设备,主板,7.29,8.03,8.03,7.01,7.30,0.73,10.00,14.19,3.07,67.26,2.33,329007.67,19980609
603353.SH,20210426,和顺石油,石油贸易,主板,41.00,45.10,45.10,41.00,41.00,4.10,10.00,7.44,2.07,35.29,3.67,157580.82,20200407
000908.SZ,20210426,景峰医药,化学制药,主板,5.14,5.50,5.50,5.10,5.00,0.50,10.00,7.45,0.66,0.00,2.92,289229.05,19990203
002581.SZ,20210426,未名医药,生物制药,中小板,11.66,11.66,11.66,11.66,10.60,1.06,10.00,0.50,0.13,121.36,3.62,23440.10,20110520
603618.SH,20210426,杭电股份,电气设备,主板,6.49,6.49,6.49,6.30,5.90,0.59,10.00,4.02,4.91,38.02,1.66,178848.84,20150217
002932.SZ,20210426,明德生物,医疗保健,中小板,91.18,97.48,97.48,90.42,88.62,8.86,10.00,12.94,1.13,161.99,6.13,369078.91,20180710
601127.SH,20210426,小康股份,汽车配件,主板,41.27,42.03,42.03,40.00,38.21,3.82,10.00,4.16,0.68,813.35,8.66,1670975.77,20160615
603486.SH,20210426,科沃斯,家用电器,主板,140.00,145.24,145.24,139.64,132.04,13.20,10.00,1.31,1.03,129.69,24.26,340999.26,20180528
605086.SH,20210426,龙高股份,矿物制品,主板,32.81,32.81,32.81,32.01,29.83,2.98,9.99,29.90,33.19,55.11,4.36,313695.02,20210416
003020.SZ,20210426,立方制药,化学制药,中小板,38.00,40.85,40.85,37.23,37.14,3.71,9.99,26.52,1.54,28.01,3.22,241025.00,20201215
603518.SH,20210426,锦泓集团,服饰,主板,9.69,9.69,9.69,9.69,8.81,0.88,9.99,1.76,0.33,22.46,1.55,42715.73,20141203
600983.SH,20210426,惠而浦,家用电器,主板,8.66,9.58,9.58,8.66,8.71,0.87,9.99,1.48,1.83,0.00,2.08,105962.77,20040727
002338.SZ,20210426,奥普光电,电器仪表,中小板,16.62,18.28,18.28,16.62,16.62,1.66,9.99,3.04,1.46,84.17,4.92,132225.21,20100115
002988.SZ,20210426,豪美新材,铝,中小板,14.66,16.19,16.19,14.60,14.72,1.47,9.99,17.09,2.20,32.51,1.81,158223.24,20200518
002120.SZ,20210426,韵达股份,仓储物流,中小板,14.55,15.64,15.64,14.39,14.22,1.42,9.99,3.16,4.57,17.13,3.24,1341921.73,20070306
000829.SZ,20210426,天音控股,其他商业,主板,5.71,6.28,6.28,5.68,5.71,0.57,9.98,1.61,3.16,127.01,2.61,100495.43,19971202
603615.SH,20210426,茶花股份,家居用品,主板,8.75,9.59,9.59,8.70,8.72,0.87,9.98,3.16,3.37,63.30,1.83,71286.96,20170213
600513.SH,20210426,联环药业,化学制药,主板,9.29,9.93,9.93,9.29,9.03,0.90,9.97,8.91,4.07,27.76,2.67,250609.92,20030319
000756.SZ,20210426,新华制药,化学制药,主板,9.21,9.60,9.60,9.21,8.73,0.87,9.97,3.45,6.57,18.54,1.79,142482.43,19970806
601001.SH,20210426,晋控煤业,煤炭开采,主板,5.75,6.18,6.18,5.69,5.62,0.56,9.96,5.10,1.87,11.53,1.40,517591.78,20060623
600172.SH,20210426,黄河旋风,矿物制品,主板,4.04,4.20,4.20,4.02,3.82,0.38,9.95,9.05,2.75,0.00,1.88,463395.36,19981126
000821.SZ,20210426,京山轻机,轻工机械,主板,7.26,7.96,7.96,7.22,7.24,0.72,9.94,4.37,2.72,0.00,1.83,161818.98,19980626
002492.SZ,20210426,恒基达鑫,仓储物流,中小板,5.48,5.98,5.98,5.44,5.44,0.54,9.93,3.62,1.73,45.97,1.78,83344.10,20101102
600701.SH,20210426,0,0,0,0.40,0.45,0.45,0.40,0.41,0.04,9.76,3.16,1.67,0.00,0.00,11512.09,0
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
化学制药,9,37.45,28.01,3.96,3.85,20210426
医疗保健,4,79.44,77.88,8.29,6.87,20210426
汽车配件,4,255.25,86.68,4.36,3.45,20210426
家用电器,3,54.80,34.72,10.23,4.34,20210426
通信设备,2,32.88,32.88,3.23,3.23,20210426
仓储物流,2,31.55,31.55,2.51,2.51,20210426
化工原料,2,36.12,36.12,3.11,3.11,20210426
矿物制品,2,27.55,27.55,3.12,3.12,20210426
电气设备,2,52.64,52.64,2.00,2.00,20210426
服饰,2,55.65,55.65,3.01,3.01,20210426
