ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210427,3442.61,3440.09,3443.85,3417.26,3441.17,1.45,0.04,253032393.00,327046020.00,15.06,1.49
000005.SH,20210427,3117.15,3099.26,3118.79,3092.20,3098.79,18.36,0.59,14749836.00,20875935.60,14.53,1.44
000300.SH,20210427,5090.52,5076.64,5095.98,5042.61,5077.24,13.28,0.26,123961837.00,254738009.80,15.08,1.66
000905.SH,20210427,6446.28,6434.61,6466.25,6399.44,6442.65,3.64,0.06,125894712.00,138320089.60,26.24,2.06
399001.SZ,20210427,14264.08,14211.58,14266.60,14106.83,14224.45,39.64,0.28,332469465.00,437562781.00,31.02,3.45
399006.SZ,20210427,2986.03,2964.03,2986.03,2946.80,2969.40,16.63,0.56,87910104.00,167120043.70,68.35,7.69
market,trade_date,up,down,amount,limit up,new limit up
全部,20210427,1467,2678,764450402,40,0
主板,20210427,1073,1877,569024135,36,0
创业板,20210427,307,624,167120043,3,0
科创板,20210427,87,177,28306223,1,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
688315.SH,20210427,诺禾致源,医疗保健,科创板,29.87,35.32,35.32,29.38,29.43,5.89,20.01,26.32,1.24,386.85,9.03,279886.12,20210413
300061.SZ,20210427,旗天科技,互联网,创业板,5.96,7.38,7.38,5.76,6.15,1.23,20.00,20.07,1.20,0.00,3.80,731019.77,20100319
300756.SZ,20210427,金马游乐,专用机械,创业板,25.40,28.80,28.80,25.22,24.00,4.80,20.00,12.00,4.43,0.00,2.74,110348.32,20181228
300966.SZ,20210427,共同药业,化学制药,创业板,43.75,48.26,48.26,42.10,40.22,8.04,19.99,57.74,2.23,104.60,7.64,720157.31,20210409
600715.SH,20210427,文投控股,影视音像,主板,2.57,2.84,2.84,2.57,2.58,0.26,10.08,1.21,0.54,0.00,1.79,62369.13,19960701
603696.SH,20210427,安记食品,食品,主板,9.41,10.41,10.41,9.31,9.46,0.95,10.04,4.25,3.14,46.36,4.33,101914.39,20151209
603083.SH,20210427,剑桥科技,通信设备,主板,13.22,14.14,14.14,13.10,12.85,1.29,10.04,13.85,6.78,0.00,2.10,484419.33,20171110
603196.SH,20210427,日播时尚,服饰,主板,5.70,6.25,6.25,5.70,5.68,0.57,10.04,3.74,2.64,0.00,1.81,54241.32,20170531
002581.SZ,20210427,未名医药,生物制药,中小板,12.83,12.83,12.83,12.83,11.66,1.17,10.03,0.98,0.30,133.54,3.99,50217.70,20110520
000829.SZ,20210427,天音控股,其他商业,主板,6.91,6.91,6.91,6.91,6.28,0.63,10.03,1.27,1.81,139.75,2.87,90161.13,19971202
002038.SZ,20210427,双鹭药业,生物制药,中小板,10.38,11.19,11.19,10.30,10.17,1.02,10.03,3.51,2.00,31.52,2.26,327496.37,20040909
603088.SH,20210427,宁波精达,专用机械,主板,7.69,7.90,7.90,7.61,7.18,0.72,10.03,1.68,1.47,25.75,3.11,28856.45,20141111
603001.SH,20210427,奥康国际,服饰,主板,7.43,8.01,8.01,7.41,7.28,0.73,10.03,3.97,14.20,114.95,0.88,126048.04,20120426
003006.SZ,20210427,百亚股份,造纸,中小板,20.91,22.84,22.84,20.81,20.76,2.08,10.02,15.32,1.83,53.53,8.11,144261.80,20200921
603214.SH,20210427,爱婴室,百货,主板,23.61,26.03,26.03,22.61,23.66,2.37,10.02,5.99,1.54,31.85,3.70,210564.26,20180330
002584.SZ,20210427,西陇科学,化工原料,中小板,5.97,6.59,6.59,5.80,5.99,0.60,10.02,9.48,1.47,100.10,1.89,233280.95,20110602
003020.SZ,20210427,立方制药,化学制药,中小板,42.28,44.94,44.94,41.99,40.85,4.09,10.01,36.69,1.83,30.81,3.42,375255.49,20201215
603518.SH,20210427,锦泓集团,服饰,主板,10.66,10.66,10.66,10.66,9.69,0.97,10.01,0.73,0.14,24.71,1.70,19511.45,20141203
605289.SH,20210427,罗曼股份,建筑工程,主板,43.20,43.20,43.20,42.00,39.27,3.93,10.01,14.66,0.00,35.34,3.16,137026.76,20210426
603517.SH,20210427,绝味食品,食品,主板,81.00,87.29,87.29,79.47,79.35,7.94,10.01,0.90,1.93,75.75,10.20,462474.56,20170317
603990.SH,20210427,麦迪科技,软件服务,主板,30.12,32.99,32.99,29.27,29.99,3.00,10.00,13.27,1.31,154.01,5.12,610302.73,20161208
002612.SZ,20210427,朗姿股份,服饰,中小板,45.01,50.15,50.15,45.01,45.59,4.56,10.00,17.93,1.29,156.22,7.49,2276053.35,20110830
000908.SZ,20210427,景峰医药,化学制药,主板,5.59,6.05,6.05,5.40,5.50,0.55,10.00,23.56,2.27,0.00,3.21,992819.74,19990203
000911.SZ,20210427,南宁糖业,食品,主板,8.27,9.46,9.46,8.21,8.60,0.86,10.00,10.64,4.34,69.92,25.28,316321.37,19990527
603486.SH,20210427,科沃斯,家用电器,主板,150.00,159.76,159.76,148.00,145.24,14.52,10.00,4.49,3.64,142.65,26.68,1259049.90,20180528
605086.SH,20210427,龙高股份,矿物制品,主板,34.68,36.09,36.09,34.00,32.81,3.28,10.00,57.89,8.48,60.61,4.79,655090.37,20210416
000615.SZ,20210427,奥园美谷,化纤,主板,14.26,16.07,16.07,14.26,14.61,1.46,9.99,10.51,1.53,1038.37,7.32,1277215.28,19961016
605016.SH,20210427,百龙创园,食品,主板,30.83,30.83,30.83,30.83,28.03,2.80,9.99,1.46,0.00,40.91,3.51,14312.61,20210421
002898.SZ,20210427,赛隆药业,化学制药,中小板,9.13,10.13,10.13,8.96,9.21,0.92,9.99,2.82,4.59,64.87,3.01,48296.72,20170912
002435.SZ,20210427,长江健康,化学制药,中小板,6.55,7.71,7.71,6.31,7.01,0.70,9.99,13.79,2.10,0.00,1.84,1143555.02,20100618
600200.SH,20210427,江苏吴中,化学制药,主板,5.98,6.61,6.61,5.87,6.01,0.60,9.98,8.56,1.10,72.97,2.04,384496.69,19990401
002893.SZ,20210427,华通热力,供气供热,中小板,9.00,9.37,9.37,8.82,8.52,0.85,9.98,12.74,1.17,67.30,2.54,121378.64,20170915
601279.SH,20210427,英利汽车,汽车配件,主板,6.40,6.40,6.40,6.40,5.82,0.58,9.97,0.51,1.52,57.88,2.73,4840.08,20210415
603121.SH,20210427,华培动力,汽车配件,主板,9.78,10.49,10.49,9.71,9.54,0.95,9.96,3.56,1.04,46.14,2.38,43855.88,20190111
603839.SH,20210427,安正时尚,服饰,主板,9.63,10.49,10.49,9.63,9.54,0.95,9.96,4.58,3.37,21.25,1.50,184226.90,20170214
603168.SH,20210427,莎普爱思,化学制药,主板,7.19,7.84,7.84,7.16,7.13,0.71,9.96,4.62,3.61,0.00,1.92,113406.16,20140702
002537.SZ,20210427,海联金汇,汽车整车,中小板,5.84,6.41,6.41,5.83,5.83,0.58,9.95,4.97,1.79,37.23,1.96,380793.65,20110110
603527.SH,20210427,众源新材,铜,主板,7.70,8.40,8.40,7.70,7.64,0.76,9.95,3.47,9.82,22.08,2.19,70632.95,20170907
000417.SZ,20210427,合肥百货,百货,主板,4.74,5.21,5.21,4.74,4.74,0.47,9.92,3.15,4.37,29.65,0.98,124492.46,19960812
002433.SZ,20210427,太安堂,中成药,中小板,3.55,3.89,3.89,3.42,3.54,0.35,9.89,4.38,2.49,134.20,0.57,120239.02,20100618
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
化学制药,7,39.04,30.81,3.30,3.01,20210427
服饰,5,63.43,24.71,2.68,1.70,20210427
食品,4,58.23,58.14,10.83,7.26,20210427
百货,2,30.75,30.75,2.34,2.34,20210427
生物制药,2,82.53,82.53,3.12,3.12,20210427
汽车配件,2,52.01,52.01,2.55,2.55,20210427
专用机械,2,12.87,12.87,2.93,2.93,20210427
化纤,1,1038.37,1038.37,7.32,7.32,20210427
医疗保健,1,386.85,386.85,9.03,9.03,20210427
家用电器,1,142.65,142.65,26.68,26.68,20210427
建筑工程,1,35.34,35.34,3.16,3.16,20210427
中成药,1,134.20,134.20,0.57,0.57,20210427
化工原料,1,100.10,100.10,1.89,1.89,20210427
汽车整车,1,37.23,37.23,1.96,1.96,20210427
其他商业,1,139.75,139.75,2.87,2.87,20210427
供气供热,1,67.30,67.30,2.54,2.54,20210427
互联网,1,0.00,0.00,3.80,3.80,20210427
矿物制品,1,60.61,60.61,4.79,4.79,20210427
软件服务,1,154.01,154.01,5.12,5.12,20210427
通信设备,1,0.00,0.00,2.10,2.10,20210427
造纸,1,53.53,53.53,8.11,8.11,20210427
铜,1,22.08,22.08,2.19,2.19,20210427
影视音像,1,0.00,0.00,1.79,1.79,20210427
Trade_Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
20210329,煤炭概念,燃料乙醇,新疆振兴,天然气,煤化工,可燃冰,送转填权,医美概念,水泥,石墨电极,丙烯酸,环氧丙烷,白酒概念,摘帽,页岩气,物业管理,地下管网,有机硅,深圳国资改革,一带一路
20210329,4.0322,3.5101,2.3948,2.3534,2.2201,2.1528,2.0553,1.9148,1.8003,1.726,1.6836,1.6487,1.6373,1.5182,1.5033,1.4515,1.4443,1.3508,1.0407,1.0067
20210330,新疆振兴,送转填权,可燃冰,同花顺漂亮100,医美概念,国产航母,中船系,医药电商,通用航空,上证50样本股,稀土永磁,辅助生殖,上证180成份股,沪深300样本股,超级品牌,钛白粉,页岩气,稀缺资源,水泥,大飞机
20210330,4.7872,2.4927,1.9198,1.8071,1.3207,1.1974,1.1916,1.1766,1.1395,1.1174,1.0838,1.0289,0.9567,0.9481,0.8647,0.8287,0.7583,0.7095,0.6856,0.5953
20210331,语音技术,京津冀一体化,医疗废物处理,送转填权,雄安新区,PM2.5,固废处理,PPP概念,污水处理,ETC,数字孪生,航运概念,地下管网,智能音箱,数字货币,特色小镇,垃圾分类,REITs,家用电器,节能环保
20210331,3.4274,2.841,2.8231,2.3068,2.1481,2.0997,1.9588,1.831,1.7897,1.7433,1.6976,1.6865,1.6586,1.5445,1.5308,1.488,1.3978,1.3609,1.3059,1.2909
20210401,医美概念,国家大基金持股,辅助生殖,草甘膦,民营医院,中芯国际概念,微信小程序,语音技术,特钢概念,第三代半导体,氮化镓,环氧丙烷,送转填权,草地贪夜蛾防治,石墨电极,磷化工,集成电路概念,同花顺漂亮100,华为海思概念股,光刻胶
20210401,4.9214,3.4051,2.8854,2.642,2.5829,2.3602,2.3462,2.1819,2.1466,2.1317,2.0506,1.9086,1.9079,1.8959,1.8623,1.7786,1.7272,1.7046,1.568,1.472
20210402,国家大基金持股,第三代半导体,氮化镓,中芯国际概念,集成电路概念,MiniLED,芯片概念,科创次新股,白酒概念,华为海思概念股,拼多多概念,新股与次新股,节能照明,消费电子,今日头条概念,核准制次新股,快手概念,注册制次新股,光刻胶,在线旅游
20210402,5.5381,5.032,4.4504,3.9211,3.7146,3.1694,2.8938,2.7263,2.6466,2.5718,2.4732,2.3889,2.3324,2.3152,2.2873,2.2294,2.1768,2.1493,2.1292,2.0208
20210406,氢能源,中船系,HIT电池,燃料电池,碳中和,页岩气,云游戏,光伏建筑一体化,丙烯酸,消毒剂,手机游戏,创业板重组松绑,海工装备,百度概念,无人驾驶,无人零售,ETC,电子竞技,光伏概念,国产航母
20210406,5.2292,4.0125,3.6352,3.2731,3.1335,2.8706,2.6398,2.4064,2.3511,2.3163,2.224,2.2044,2.2002,2.1746,2.1163,2.0757,2.062,2.0422,2.0101,1.9184
20210407,高送转预期,丙烯酸,航运概念,特钢概念,注册制次新股,核准制次新股,新股与次新股,煤炭概念,碳中和,汽车拆解概念,食品安全,福建自贸区,核电,中韩自贸区,物业管理,海工装备,稀缺资源,中船系,氢能源,PM2.5
20210407,6.8097,4.7838,4.7332,4.0908,3.7455,3.2242,2.3477,2.2021,1.9456,1.8016,1.623,1.6106,1.5473,1.5362,1.4997,1.4553,1.4549,1.4512,1.431,1.422
20210408,医美概念,送转填权,环氧丙烷,石墨电极,特钢概念,辅助生殖,生物疫苗,眼科医疗,乳业,稀缺资源,白酒概念,超级品牌,啤酒概念,共享单车,新冠检测,海南自贸区,煤炭概念,超级真菌,流感,上证50样本股
20210408,2.7864,2.6882,1.8705,1.2139,1.1544,1.0322,1.0218,0.9722,0.9473,0.9149,0.8401,0.8129,0.7961,0.7312,0.6863,0.6164,0.6067,0.5337,0.5045,0.4094
20210409,海南自贸区,拼多多概念,快手概念,共享单车,赛马概念,医美概念,在线旅游,网红经济,燃料电池,氢能源,云游戏,航运概念,今日头条概念,免税店,电子竞技,超级真菌,辅助生殖,土地流转,广东自贸区,体育产业
20210409,3.1966,3.0805,2.8068,2.1212,1.8381,1.689,1.6582,1.5624,1.5463,1.4393,1.4286,1.3785,1.3733,1.344,1.2918,1.2318,1.1454,1.0998,1.0797,1.0538
20210412,海南自贸区,赛马概念,白酒概念,特钢概念,养鸡,PM2.5,特色小镇,京津冀一体化,天津自贸区,核电,租售同权,染料,流感,页岩气,数字货币,土地流转,天然气,福建自贸区,燃料乙醇,广东自贸区
20210412,1.9371,1.5879,1.5012,1.0946,0.6507,0.4138,0.4025,0.363,0.3626,0.2418,0.183,0.1608,0.1233,0.1088,0.009,-0.0337,-0.1177,-0.1216,-0.1941,-0.2016
20210413,大豆,语音技术,转基因,数字货币,玉米,新冠检测,食品安全,养鸡,农业种植,智能音箱,啤酒概念,移动支付,无线充电,乳业,白酒概念,人脸识别,基因测序,网络安全,辅助生殖,燃料乙醇
20210413,5.2471,2.8425,2.7515,2.3112,2.2031,2.1558,1.9617,1.8195,1.4667,1.4353,1.2384,1.1463,0.9439,0.9,0.8616,0.8233,0.7848,0.7469,0.6723,0.6547
20210414,在线旅游,医美概念,快手概念,免税店,今日头条概念,广东自贸区,芬太尼,燃料乙醇,有机硅,特钢概念,云游戏,钴,宁德时代概念,锂电池,钛白粉,胎压监测,石墨烯,百度概念,丙烯酸,横琴新区
20210414,3.7429,3.6718,3.1513,3.1126,2.8846,2.8371,2.7594,2.642,2.5437,2.5239,2.4964,2.3673,2.2784,2.2323,2.2154,2.1529,2.1007,2.095,2.035,2.0285
20210415,中船系,二胎概念,白酒概念,稀缺资源,辅助生殖,新冠检测,乳业,医美概念,钴,流感,煤炭概念,知识产权保护,民营医院,养老概念,海工装备,动物疫苗,广东自贸区,细胞免疫治疗,芬太尼,小金属概念
20210415,3.1517,1.6687,1.4717,1.3778,1.3491,1.301,1.2499,1.0453,0.9195,0.7638,0.7633,0.7589,0.7505,0.7475,0.7443,0.7279,0.6985,0.6967,0.647,0.6059
20210416,数字货币,白酒概念,胎压监测,无人驾驶,百度概念,RCS富媒体通信,无人零售,知识产权保护,二胎概念,在线教育,人脸识别,微信小程序,足球概念,移动支付,科创次新股,冰雪产业,啤酒概念,互联网保险,文化传媒,车联网
20210416,4.372,4.1196,3.7701,3.6297,3.33,3.3251,3.2559,3.1516,3.1046,3.008,2.9572,2.9405,2.799,2.7569,2.7469,2.7429,2.736,2.7333,2.6139,2.6135
20210419,无人驾驶,胎压监测,科创次新股,汽车电子,语音技术,宁德时代概念,无线充电,车联网,特斯拉,同花顺漂亮100,智能音箱,电子烟,消费电子,新能源汽车,燃料电池,苹果概念,钴,网约车,无线耳机,华为海思概念股
20210419,5.719,4.7384,4.3772,4.0539,3.9704,3.7089,3.708,3.7065,3.6843,3.4152,3.2873,3.2255,3.1152,3.0824,3.0713,3.0346,2.9537,2.9225,2.8379,2.8371
20210420,啤酒概念,乳业,白酒概念,丙烯酸,中船系,云游戏,摘帽,医美概念,猪肉,动物疫苗,知识产权保护,稀土永磁,大豆,代糖概念,基因测序,环氧丙烷,天津自贸区,同花顺漂亮100,草甘膦,眼科医疗
20210420,1.9182,1.739,1.6394,1.5265,1.3679,1.2921,0.8622,0.7467,0.7456,0.6577,0.6403,0.5717,0.473,0.4602,0.4378,0.4123,0.3781,0.3654,0.351,0.3385
20210421,医美概念,动物疫苗,辅助生殖,钛白粉,白酒概念,芬太尼,眼科医疗,流感,医药电商,民营医院,超级真菌,生物疫苗,广东自贸区,新冠检测,二胎概念,基因测序,细胞免疫治疗,仿制药一致性评价,禽流感,医疗器械概念
20210421,4.1669,3.5175,3.0205,2.8479,2.7897,2.7889,2.3921,2.3715,2.309,2.1854,2.11,2.1094,1.8769,1.8233,1.7515,1.6091,1.5736,1.4549,1.4415,1.3828
20210422,啤酒概念,医美概念,数字货币,氮化镓,语音技术,国家大基金持股,第三代半导体,微信小程序,辅助生殖,智能音箱,石墨电极,MiniLED,高送转预期,互联网保险,中芯国际概念,有机硅,民营医院,节能照明,光刻胶,智能穿戴
20210422,2.5606,2.0117,1.9292,1.8071,1.6797,1.6317,1.627,1.5386,1.5202,1.4401,1.3991,1.3699,1.3534,1.331,1.3168,1.3032,1.2916,1.2841,1.2548,1.2468
20210423,送转填权,大豆,特钢概念,同花顺漂亮100,国家大基金持股,汽车拆解概念,新冠检测,上证50样本股,钛白粉,氮化镓,沪深300样本股,钴,超级品牌,上证180成份股,转基因,第三代半导体,石墨电极,玉米,环氧丙烷,中证500成份股
20210423,2.8074,1.6144,1.3758,1.2595,1.2252,1.2008,1.1655,1.0492,1.0081,0.9319,0.908,0.8726,0.8431,0.7381,0.7011,0.6696,0.6512,0.5842,0.283,0.2683
20210426,新冠检测,超级真菌,细胞免疫治疗,辅助生殖,煤炭概念,仿制药一致性评价,食品安全,生物疫苗,青蒿素,生物医药,芬太尼,医美概念,流感,烟草,稀缺资源,丙烯酸,足球概念,禽流感,共享单车,医疗器械概念
