ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210430,3446.86,3468.30,3469.09,3426.90,3474.90,-28.04,-0.81,312660354.00,401442334.70,15.26,1.46
000005.SH,20210430,3086.09,3129.29,3130.50,3071.35,3138.95,-52.87,-1.68,27581092.00,30764494.70,14.41,1.40
000300.SH,20210430,5123.49,5156.36,5163.25,5094.93,5164.17,-40.68,-0.79,160121621.00,315075102.90,15.04,1.62
000905.SH,20210430,6485.71,6470.35,6503.15,6434.73,6491.93,-6.22,-0.10,144254239.00,163746329.90,28.69,2.05
399001.SZ,20210430,14438.57,14437.17,14522.46,14343.06,14464.08,-25.51,-0.18,334698373.00,465320749.20,31.35,3.42
399006.SZ,20210430,3091.40,3040.65,3110.16,3037.31,3051.42,39.98,1.31,81081275.00,162334162.00,67.13,7.88
market,trade_date,up,down,amount,limit up,new limit up
全部,20210430,1434,2690,866530046,42,0
主板,20210430,1044,1886,669525688,38,0
创业板,20210430,295,636,162334161,2,0
科创板,20210430,95,168,34670196,2,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
688356.SH,20210430,键凯科技,化学制药,科创板,145.00,149.02,149.02,137.00,124.18,24.84,20.00,13.28,3.14,104.36,9.97,277008.80,20200826
300385.SZ,20210430,雪浪环境,环境保护,创业板,6.99,8.34,8.34,6.99,6.95,1.39,20.00,6.44,3.80,0.00,3.14,123834.13,20140626
300966.SZ,20210430,共同药业,化学制药,创业板,51.70,65.04,65.04,51.70,54.20,10.84,20.00,60.06,1.38,140.70,10.08,971434.23,20210409
688013.SH,20210430,天臣医疗,医疗保健,科创板,25.70,30.48,30.48,25.70,25.40,5.08,20.00,17.46,2.26,69.77,5.09,86657.22,20200928
600684.SH,20210430,珠江股份,全国地产,主板,3.80,4.04,4.04,3.67,3.67,0.37,10.08,9.64,8.58,0.00,1.39,319120.22,19931028
000908.SZ,20210430,景峰医药,化学制药,主板,5.90,6.88,6.88,5.90,6.25,0.63,10.08,30.07,1.69,0.00,12.78,1459948.85,19990203
000813.SZ,20210430,德展健康,化学制药,主板,4.65,4.92,4.92,4.42,4.47,0.45,10.07,6.22,2.89,38.76,1.85,661991.08,19980519
002176.SZ,20210430,江特电机,电气设备,中小板,6.62,7.33,7.33,6.61,6.66,0.67,10.06,9.18,2.16,873.03,7.62,1137784.16,20071012
000892.SZ,20210430,欢瑞世纪,影视音像,主板,2.56,2.74,2.74,2.54,2.49,0.25,10.04,5.94,3.70,0.00,1.42,86878.39,19990115
600223.SH,20210430,鲁商发展,区域地产,主板,14.20,16.12,16.12,14.20,14.65,1.47,10.03,13.80,1.53,25.47,5.01,2163871.30,20000113
600200.SH,20210430,江苏吴中,化学制药,主板,6.96,7.79,7.79,6.85,7.08,0.71,10.03,17.66,1.66,0.00,2.86,930844.16,19990401
002900.SZ,20210430,哈三联,化学制药,中小板,19.90,19.97,19.97,19.08,18.15,1.82,10.03,11.10,0.78,215.60,2.70,374886.97,20170922
000650.SZ,20210430,仁和药业,中成药,主板,8.19,9.11,9.11,8.18,8.28,0.83,10.02,9.93,2.75,22.43,2.44,1039878.51,19961210
600007.SH,20210430,中国国贸,园区开发,主板,12.74,13.94,13.94,12.67,12.67,1.27,10.02,1.27,13.49,17.01,1.70,173071.36,19990312
600613.SH,20210430,神奇制药,中成药,主板,4.81,5.16,5.16,4.76,4.69,0.47,10.02,2.15,2.23,0.00,1.20,52254.39,19920820
600793.SH,20210430,宜宾纸业,造纸,主板,11.28,11.97,11.97,11.10,10.88,1.09,10.02,6.04,2.44,0.00,3.47,126654.72,19970220
600207.SH,20210430,安彩高科,供气供热,主板,6.13,6.15,6.15,6.13,5.59,0.56,10.02,1.62,3.61,47.77,2.86,86102.85,19990714
000615.SZ,20210430,奥园美谷,化纤,主板,19.16,20.98,20.98,19.16,19.07,1.91,10.02,4.26,0.37,0.00,9.41,676243.08,19961016
601127.SH,20210430,小康股份,汽车配件,主板,43.61,48.46,48.46,43.61,44.05,4.41,10.01,8.17,1.01,0.00,13.35,3669903.71,20160615
000963.SZ,20210430,华东医药,化学制药,主板,47.90,52.64,52.64,47.90,47.85,4.79,10.01,6.78,1.38,32.66,6.03,6122069.13,20000127
002331.SZ,20210430,皖通科技,软件服务,中小板,10.90,11.98,11.98,10.90,10.89,1.09,10.01,3.22,2.00,0.00,2.54,143622.63,20100106
600196.SH,20210430,复星医药,化学制药,主板,55.54,60.24,60.24,55.10,54.76,5.48,10.01,5.36,1.52,42.15,4.10,6335682.53,19980807
603776.SH,20210430,永安行,公共交通,主板,25.15,27.93,27.93,25.10,25.39,2.54,10.00,3.10,0.62,10.59,1.67,158006.38,20170817
603025.SH,20210430,大豪科技,IT设备,主板,21.16,23.32,23.32,21.12,21.20,2.12,10.00,1.35,1.40,100.76,11.42,280642.57,20150422
603518.SH,20210430,锦泓集团,服饰,主板,14.19,14.19,14.19,14.16,12.90,1.29,10.00,7.56,3.12,0.00,1.87,268102.49,20141203
600499.SH,20210430,科达制造,专用机械,主板,11.76,13.20,13.20,11.65,12.00,1.20,10.00,4.05,1.25,87.62,4.04,817685.71,20021010
002158.SZ,20210430,汉钟精机,工程机械,中小板,24.10,26.40,26.40,24.10,24.00,2.40,10.00,1.96,2.19,38.89,5.96,269141.58,20070817
002390.SZ,20210430,信邦制药,中成药,中小板,9.77,10.67,10.67,9.63,9.70,0.97,10.00,2.97,2.92,102.52,3.56,477672.81,20100416
002626.SZ,20210430,金达威,食品,中小板,38.58,41.80,41.80,38.00,38.00,3.80,10.00,3.98,2.99,26.86,6.85,993842.34,20111028
002645.SZ,20210430,华宏科技,专用机械,中小板,14.21,15.62,15.62,14.15,14.20,1.42,10.00,4.98,1.39,40.41,2.87,339201.84,20111220
002712.SZ,20210430,思美传媒,广告包装,中小板,4.52,4.95,4.95,4.52,4.50,0.45,10.00,1.96,1.99,0.00,1.47,54168.17,20140123
605089.SH,20210430,味知香,食品,主板,54.68,54.68,54.68,54.68,49.71,4.97,10.00,1.59,0.00,43.73,5.13,21785.66,20210427
003040.SZ,20210430,楚天龙,元器件,中小板,29.46,31.69,31.69,28.47,28.81,2.88,10.00,53.51,1.46,140.27,10.64,1286164.74,20210322
002524.SZ,20210430,光正眼科,医疗保健,中小板,12.84,13.65,13.65,12.64,12.41,1.24,9.99,4.69,0.83,165.47,20.25,306795.89,20101217
603990.SH,20210430,麦迪科技,软件服务,主板,31.00,34.90,34.90,31.00,31.73,3.17,9.99,13.27,0.98,162.93,5.41,650285.32,20161208
603020.SH,20210430,爱普股份,食品,主板,10.14,10.90,10.90,9.94,9.91,0.99,9.99,7.16,4.68,20.49,1.53,243353.11,20150325
002581.SZ,20210430,未名医药,生物制药,中小板,15.98,17.07,17.07,13.99,15.52,1.55,9.99,29.09,26.99,0.00,5.26,1817013.93,20110520
001202.SZ,20210430,炬申股份,仓储物流,主板,23.90,23.90,23.90,23.90,21.73,2.17,9.99,0.55,0.00,34.10,4.37,4221.91,20210429
603933.SH,20210430,睿能科技,纺织机械,主板,13.33,13.34,13.34,12.50,12.13,1.21,9.98,9.50,9.13,106.66,2.53,250953.07,20170706
000718.SZ,20210430,苏宁环球,区域地产,主板,6.22,6.84,6.84,6.12,6.22,0.62,9.97,11.04,1.68,19.99,2.39,1647420.11,19970408
600172.SH,20210430,黄河旋风,矿物制品,主板,4.39,4.75,4.75,4.15,4.32,0.43,9.95,16.31,1.42,0.00,2.12,906770.51,19981126
601279.SH,20210430,英利汽车,汽车配件,主板,8.51,8.51,8.51,8.51,7.74,0.77,9.95,5.30,8.82,76.97,3.63,67452.07,20210415
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
化学制药,8,71.78,40.45,6.30,5.06,20210430
食品,3,30.36,26.86,4.50,5.13,20210430
中成药,3,41.65,22.43,2.40,2.44,20210430
软件服务,2,81.46,81.46,3.98,3.98,20210430
区域地产,2,22.73,22.73,3.70,3.70,20210430
医疗保健,2,117.62,117.62,12.67,12.67,20210430
专用机械,2,64.01,64.01,3.46,3.46,20210430
汽车配件,2,38.48,38.48,8.49,8.49,20210430
服饰,1,0.00,0.00,1.87,1.87,20210430
造纸,1,0.00,0.00,3.47,3.47,20210430
纺织机械,1,106.66,106.66,2.53,2.53,20210430
矿物制品,1,0.00,0.00,2.12,2.12,20210430
电气设备,1,873.03,873.03,7.62,7.62,20210430
生物制药,1,0.00,0.00,5.26,5.26,20210430
环境保护,1,0.00,0.00,3.14,3.14,20210430
IT设备,1,100.76,100.76,11.42,11.42,20210430
影视音像,1,0.00,0.00,1.42,1.42,20210430
广告包装,1,0.00,0.00,1.47,1.47,20210430
园区开发,1,17.01,17.01,1.70,1.70,20210430
化纤,1,0.00,0.00,9.41,9.41,20210430
公共交通,1,10.59,10.59,1.67,1.67,20210430
全国地产,1,0.00,0.00,1.39,1.39,20210430
元器件,1,140.27,140.27,10.64,10.64,20210430
供气供热,1,47.77,47.77,2.86,2.86,20210430
仓储物流,1,34.10,34.10,4.37,4.37,20210430
工程机械,1,38.89,38.89,5.96,5.96,20210430
Trade_Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
20210331,语音技术,京津冀一体化,医疗废物处理,送转填权,雄安新区,PM2.5,固废处理,PPP概念,污水处理,ETC,数字孪生,航运概念,地下管网,智能音箱,数字货币,特色小镇,垃圾分类,REITs,家用电器,节能环保
20210331,3.4274,2.841,2.8231,2.3068,2.1481,2.0997,1.9588,1.831,1.7897,1.7433,1.6976,1.6865,1.6586,1.5445,1.5308,1.488,1.3978,1.3609,1.3059,1.2909
20210401,医美概念,国家大基金持股,辅助生殖,草甘膦,民营医院,中芯国际概念,微信小程序,语音技术,特钢概念,第三代半导体,氮化镓,环氧丙烷,送转填权,草地贪夜蛾防治,石墨电极,磷化工,集成电路概念,同花顺漂亮100,华为海思概念股,光刻胶
20210401,4.9214,3.4051,2.8854,2.642,2.5829,2.3602,2.3462,2.1819,2.1466,2.1317,2.0506,1.9086,1.9079,1.8959,1.8623,1.7786,1.7272,1.7046,1.568,1.472
20210402,国家大基金持股,第三代半导体,氮化镓,中芯国际概念,集成电路概念,MiniLED,芯片概念,科创次新股,白酒概念,华为海思概念股,拼多多概念,新股与次新股,节能照明,消费电子,今日头条概念,核准制次新股,快手概念,注册制次新股,光刻胶,在线旅游
20210402,5.5381,5.032,4.4504,3.9211,3.7146,3.1694,2.8938,2.7263,2.6466,2.5718,2.4732,2.3889,2.3324,2.3152,2.2873,2.2294,2.1768,2.1493,2.1292,2.0208
20210406,氢能源,中船系,HIT电池,燃料电池,碳中和,页岩气,云游戏,光伏建筑一体化,丙烯酸,消毒剂,手机游戏,创业板重组松绑,海工装备,百度概念,无人驾驶,无人零售,ETC,电子竞技,光伏概念,国产航母
20210406,5.2292,4.0125,3.6352,3.2731,3.1335,2.8706,2.6398,2.4064,2.3511,2.3163,2.224,2.2044,2.2002,2.1746,2.1163,2.0757,2.062,2.0422,2.0101,1.9184
20210407,高送转预期,丙烯酸,航运概念,特钢概念,注册制次新股,核准制次新股,新股与次新股,煤炭概念,碳中和,汽车拆解概念,食品安全,福建自贸区,核电,中韩自贸区,物业管理,海工装备,稀缺资源,中船系,氢能源,PM2.5
20210407,6.8097,4.7838,4.7332,4.0908,3.7455,3.2242,2.3477,2.2021,1.9456,1.8016,1.623,1.6106,1.5473,1.5362,1.4997,1.4553,1.4549,1.4512,1.431,1.422
20210408,医美概念,送转填权,环氧丙烷,石墨电极,特钢概念,辅助生殖,生物疫苗,眼科医疗,乳业,稀缺资源,白酒概念,超级品牌,啤酒概念,共享单车,新冠检测,海南自贸区,煤炭概念,超级真菌,流感,上证50样本股
20210408,2.7864,2.6882,1.8705,1.2139,1.1544,1.0322,1.0218,0.9722,0.9473,0.9149,0.8401,0.8129,0.7961,0.7312,0.6863,0.6164,0.6067,0.5337,0.5045,0.4094
20210409,海南自贸区,拼多多概念,快手概念,共享单车,赛马概念,医美概念,在线旅游,网红经济,燃料电池,氢能源,云游戏,航运概念,今日头条概念,免税店,电子竞技,超级真菌,辅助生殖,土地流转,广东自贸区,体育产业
20210409,3.1966,3.0805,2.8068,2.1212,1.8381,1.689,1.6582,1.5624,1.5463,1.4393,1.4286,1.3785,1.3733,1.344,1.2918,1.2318,1.1454,1.0998,1.0797,1.0538
20210412,海南自贸区,赛马概念,白酒概念,特钢概念,养鸡,PM2.5,特色小镇,京津冀一体化,天津自贸区,核电,租售同权,染料,流感,页岩气,数字货币,土地流转,天然气,福建自贸区,燃料乙醇,广东自贸区
20210412,1.9371,1.5879,1.5012,1.0946,0.6507,0.4138,0.4025,0.363,0.3626,0.2418,0.183,0.1608,0.1233,0.1088,0.009,-0.0337,-0.1177,-0.1216,-0.1941,-0.2016
20210413,大豆,语音技术,转基因,数字货币,玉米,新冠检测,食品安全,养鸡,农业种植,智能音箱,啤酒概念,移动支付,无线充电,乳业,白酒概念,人脸识别,基因测序,网络安全,辅助生殖,燃料乙醇
20210413,5.2471,2.8425,2.7515,2.3112,2.2031,2.1558,1.9617,1.8195,1.4667,1.4353,1.2384,1.1463,0.9439,0.9,0.8616,0.8233,0.7848,0.7469,0.6723,0.6547
20210414,在线旅游,医美概念,快手概念,免税店,今日头条概念,广东自贸区,芬太尼,燃料乙醇,有机硅,特钢概念,云游戏,钴,宁德时代概念,锂电池,钛白粉,胎压监测,石墨烯,百度概念,丙烯酸,横琴新区
20210414,3.7429,3.6718,3.1513,3.1126,2.8846,2.8371,2.7594,2.642,2.5437,2.5239,2.4964,2.3673,2.2784,2.2323,2.2154,2.1529,2.1007,2.095,2.035,2.0285
20210415,中船系,二胎概念,白酒概念,稀缺资源,辅助生殖,新冠检测,乳业,医美概念,钴,流感,煤炭概念,知识产权保护,民营医院,养老概念,海工装备,动物疫苗,广东自贸区,细胞免疫治疗,芬太尼,小金属概念
20210415,3.1517,1.6687,1.4717,1.3778,1.3491,1.301,1.2499,1.0453,0.9195,0.7638,0.7633,0.7589,0.7505,0.7475,0.7443,0.7279,0.6985,0.6967,0.647,0.6059
20210416,数字货币,白酒概念,胎压监测,无人驾驶,百度概念,RCS富媒体通信,无人零售,知识产权保护,二胎概念,在线教育,人脸识别,微信小程序,足球概念,移动支付,科创次新股,冰雪产业,啤酒概念,互联网保险,文化传媒,车联网
20210416,4.372,4.1196,3.7701,3.6297,3.33,3.3251,3.2559,3.1516,3.1046,3.008,2.9572,2.9405,2.799,2.7569,2.7469,2.7429,2.736,2.7333,2.6139,2.6135
20210419,无人驾驶,胎压监测,科创次新股,汽车电子,语音技术,宁德时代概念,无线充电,车联网,特斯拉,同花顺漂亮100,智能音箱,电子烟,消费电子,新能源汽车,燃料电池,苹果概念,钴,网约车,无线耳机,华为海思概念股
20210419,5.719,4.7384,4.3772,4.0539,3.9704,3.7089,3.708,3.7065,3.6843,3.4152,3.2873,3.2255,3.1152,3.0824,3.0713,3.0346,2.9537,2.9225,2.8379,2.8371
20210420,啤酒概念,乳业,白酒概念,丙烯酸,中船系,云游戏,摘帽,医美概念,猪肉,动物疫苗,知识产权保护,稀土永磁,大豆,代糖概念,基因测序,环氧丙烷,天津自贸区,同花顺漂亮100,草甘膦,眼科医疗
20210420,1.9182,1.739,1.6394,1.5265,1.3679,1.2921,0.8622,0.7467,0.7456,0.6577,0.6403,0.5717,0.473,0.4602,0.4378,0.4123,0.3781,0.3654,0.351,0.3385
20210421,医美概念,动物疫苗,辅助生殖,钛白粉,白酒概念,芬太尼,眼科医疗,流感,医药电商,民营医院,超级真菌,生物疫苗,广东自贸区,新冠检测,二胎概念,基因测序,细胞免疫治疗,仿制药一致性评价,禽流感,医疗器械概念
20210421,4.1669,3.5175,3.0205,2.8479,2.7897,2.7889,2.3921,2.3715,2.309,2.1854,2.11,2.1094,1.8769,1.8233,1.7515,1.6091,1.5736,1.4549,1.4415,1.3828
20210422,啤酒概念,医美概念,数字货币,氮化镓,语音技术,国家大基金持股,第三代半导体,微信小程序,辅助生殖,智能音箱,石墨电极,MiniLED,高送转预期,互联网保险,中芯国际概念,有机硅,民营医院,节能照明,光刻胶,智能穿戴
20210422,2.5606,2.0117,1.9292,1.8071,1.6797,1.6317,1.627,1.5386,1.5202,1.4401,1.3991,1.3699,1.3534,1.331,1.3168,1.3032,1.2916,1.2841,1.2548,1.2468
20210423,送转填权,大豆,特钢概念,同花顺漂亮100,国家大基金持股,汽车拆解概念,新冠检测,上证50样本股,钛白粉,氮化镓,沪深300样本股,钴,超级品牌,上证180成份股,转基因,第三代半导体,石墨电极,玉米,环氧丙烷,中证500成份股
20210423,2.8074,1.6144,1.3758,1.2595,1.2252,1.2008,1.1655,1.0492,1.0081,0.9319,0.908,0.8726,0.8431,0.7381,0.7011,0.6696,0.6512,0.5842,0.283,0.2683
20210426,新冠检测,超级真菌,细胞免疫治疗,辅助生殖,煤炭概念,仿制药一致性评价,食品安全,生物疫苗,青蒿素,生物医药,芬太尼,医美概念,流感,烟草,稀缺资源,丙烯酸,足球概念,禽流感,共享单车,医疗器械概念
20210426,3.1884,2.4989,1.7881,1.7577,1.6226,1.4629,1.3277,1.3205,1.3112,1.31,1.3054,1.2844,1.2161,1.1928,1.1231,1.1012,1.0422,1.0334,1.0314,1.0078
20210427,辅助生殖,超级真菌,医美概念,二胎概念,流感,眼科医疗,基因测序,芬太尼,仿制药一致性评价,生物医药,NMN概念,民营医院,数字货币,生物疫苗,医药电商,海南自贸区,C2M概念,新冠检测,互联网医疗,医疗器械概念
20210427,6.1774,3.0125,2.7446,2.3466,2.0493,1.9732,1.5713,1.432,1.363,1.2901,1.1375,0.9942,0.9555,0.9477,0.7888,0.7737,0.7222,0.7017,0.6982,0.6825
20210428,辅助生殖,钛白粉,石墨电极,煤炭概念,白酒概念,基因测序,养老概念,超级真菌,青蒿素,医美概念,啤酒概念,眼科医疗,燃料乙醇,细胞免疫治疗,国家大基金持股,丙烯酸,智能物流,染料,消毒剂,煤化工
20210428,3.6713,3.1946,2.8471,2.7762,2.7554,2.3614,2.3112,2.3056,2.2175,2.1178,2.1081,2.0721,1.9335,1.7951,1.641,1.6392,1.5592,1.5547,1.5302,1.4969
20210430,医美概念,超级真菌,青蒿素,芬太尼,生物疫苗,仿制药一致性评价,眼科医疗,流感,生物医药,大豆,NMN概念,新冠检测,细胞免疫治疗,基因测序,辅助生殖,禽流感,医疗废物处理,医疗器械概念,民营医院,消毒剂
