ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210907,3676.59,3621.71,3681.93,3615.14,3621.86,54.73,1.51,547721875.00,658867924.80,16.60,1.59
000005.SH,20210907,3008.49,2970.41,3018.38,2957.69,2974.94,33.56,1.13,30741508.00,35528563.20,14.46,1.39
000300.SH,20210907,4992.83,4932.98,5005.96,4915.61,4933.73,59.10,1.20,244178519.00,417759639.10,15.38,1.66
000905.SH,20210907,7498.93,7360.38,7501.13,7350.70,7355.40,143.52,1.95,260727541.00,280403354.00,27.97,2.18
399001.SZ,20210907,14702.90,14543.84,14724.63,14483.55,14546.60,156.29,1.07,532235187.00,743489213.60,31.49,3.51
399006.SZ,20210907,3251.49,3222.43,3256.53,3203.68,3228.09,23.40,0.72,146501612.00,267655676.90,65.05,8.15
market,trade_date,up,down,amount,limit up,new limit up
全部,20210907,2914,1385,1401964987,99,0
主板,20210907,2205,775,1083342819,92,0
创业板,20210907,552,438,267655676,7,0
科创板,20210907,157,172,50966491,0,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
300148.SZ,20210907,天舟文化,互联网,创业板,3.34,4.01,4.01,3.33,3.34,0.67,20.06,22.68,5.12,0.00,1.42,648728.65,20101215
301038.SZ,20210907,深水规院,建筑工程,创业板,23.50,27.40,27.40,23.50,22.83,4.57,20.02,33.14,1.59,38.70,4.10,248966.71,20210804
300082.SZ,20210907,奥克股份,化工原料,创业板,16.64,19.97,19.97,16.50,16.64,3.33,20.01,7.18,2.26,33.72,4.34,902313.87,20100520
300037.SZ,20210907,新宙邦,化工原料,创业板,119.79,138.94,138.94,119.72,115.78,23.16,20.00,6.76,2.13,110.23,10.29,2629164.80,20100108
300073.SZ,20210907,当升科技,电气设备,创业板,71.00,85.31,85.31,70.88,71.09,14.22,20.00,9.97,2.78,100.54,9.25,3516718.28,20100427
300497.SZ,20210907,富祥药业,化学制药,创业板,16.11,19.14,19.14,16.06,15.95,3.19,20.00,17.40,1.95,32.97,3.45,1407206.43,20151222
300052.SZ,20210907,中青宝,互联网,创业板,8.28,9.84,9.84,8.21,8.20,1.64,20.00,13.74,4.60,0.00,3.65,339150.79,20100211
601608.SH,20210907,中信重工,专用机械,主板,4.97,5.56,5.56,4.88,5.05,0.51,10.10,3.86,0.91,123.65,3.26,873489.18,20120706
000682.SZ,20210907,东方电子,软件服务,主板,5.66,6.33,6.33,5.66,5.75,0.58,10.09,4.25,1.13,30.51,2.35,304628.12,19970121
600792.SH,20210907,云煤能源,焦炭加工,主板,4.85,5.24,5.24,4.78,4.76,0.48,10.08,4.39,1.12,87.87,1.47,221556.33,19970123
601106.SH,20210907,中国一重,工程机械,主板,3.80,4.15,4.15,3.74,3.77,0.38,10.08,2.68,1.48,218.13,2.54,740764.68,20100209
601669.SH,20210907,中国电建,建筑工程,主板,7.26,8.09,8.09,7.11,7.35,0.74,10.07,7.52,1.47,15.50,1.30,6408752.33,20111018
002004.SZ,20210907,华邦健康,化学制药,中小板,6.80,7.44,7.44,6.71,6.76,0.68,10.06,8.50,2.26,22.60,1.55,1113892.07,20040625
600740.SH,20210907,山西焦化,焦炭加工,主板,8.65,9.41,9.41,8.46,8.55,0.86,10.06,5.69,0.86,21.97,1.97,1314857.34,19960808
600725.SH,20210907,云维股份,焦炭加工,主板,3.78,4.16,4.16,3.67,3.78,0.38,10.05,2.73,0.80,319.75,15.77,134920.11,19960702
600075.SH,20210907,新疆天业,化工原料,主板,10.03,10.95,10.95,10.03,9.95,1.00,10.05,10.39,0.92,20.71,2.03,1370377.07,19970617
600293.SH,20210907,三峡新材,玻璃,主板,4.36,4.71,4.71,4.34,4.28,0.43,10.05,4.31,0.71,0.00,3.13,231482.89,20000919
600273.SH,20210907,嘉化能源,化工原料,主板,11.00,11.83,11.83,11.00,10.75,1.08,10.05,3.46,1.85,13.00,2.05,578099.77,20030627
600618.SH,20210907,氯碱化工,化工原料,主板,12.72,13.15,13.15,12.60,11.95,1.20,10.04,2.58,0.62,25.06,2.64,251855.01,19921113
600490.SH,20210907,鹏欣资源,铜,主板,7.27,7.89,7.89,7.25,7.17,0.72,10.04,5.84,0.84,37.73,2.70,909321.34,20030626
605333.SH,20210907,沪光股份,汽车配件,主板,12.79,14.03,14.03,12.75,12.75,1.28,10.04,11.94,8.39,75.79,7.21,102142.40,20200818
600163.SH,20210907,中闽能源,新型电力,主板,8.08,8.44,8.44,8.05,7.67,0.77,10.04,18.95,2.38,29.34,3.70,1575714.97,19980602
600131.SH,20210907,国网信通,通信设备,主板,14.53,15.90,15.90,14.53,14.45,1.45,10.03,5.52,1.46,31.32,4.07,468348.55,19980402
603086.SH,20210907,先达股份,农药化肥,主板,8.70,9.54,9.54,8.68,8.67,0.87,10.03,4.28,6.01,12.02,1.24,87593.24,20170511
