ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
000001.SH,20210908,3675.19,3673.40,3695.32,3661.00,3676.59,-1.40,-0.04,586436193.00,674348482.70,16.61,1.59
000005.SH,20210908,3006.36,3002.08,3034.57,2996.83,3008.49,-2.14,-0.07,35394244.00,37617664.10,14.45,1.39
000300.SH,20210908,4972.13,4986.80,5013.98,4955.89,4992.83,-20.70,-0.41,264615315.00,428591077.70,15.35,1.66
000905.SH,20210908,7544.04,7496.33,7549.45,7483.87,7498.93,45.12,0.60,272847808.00,287850948.40,28.20,2.20
399001.SZ,20210908,14688.08,14706.88,14789.09,14630.50,14702.90,-14.82,-0.10,610923609.00,800435747.20,31.44,3.50
399006.SZ,20210908,3219.95,3259.53,3282.45,3215.47,3251.49,-31.54,-0.97,171774044.00,287693633.50,64.31,8.03
market,trade_date,up,down,amount,limit up,new limit up
全部,20210908,2738,1637,1474360489,90,0
主板,20210908,2056,979,1136688341,81,0
创业板,20210908,550,458,287693633,8,0
科创板,20210908,132,200,49978514,1,0
ts_code,trade_date,name,industry,market,open,close,high,low,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
300079.SZ,20210908,数码视讯,通信设备,创业板,10.12,11.98,11.98,9.97,9.98,2.00,20.04,24.93,3.05,223.11,4.31,3465707.36,20100430
300113.SZ,20210908,顺网科技,互联网,创业板,11.50,13.54,13.54,11.47,11.28,2.26,20.04,12.97,4.88,103.42,3.84,798913.23,20100827
300052.SZ,20210908,中青宝,互联网,创业板,11.81,11.81,11.81,11.81,9.84,1.97,20.02,5.92,1.19,0.00,4.39,182670.47,20100211
300031.SZ,20210908,宝通科技,互联网,创业板,20.97,24.11,24.11,20.62,20.09,4.02,20.01,21.09,1.91,21.90,3.11,1535039.37,20091225
688039.SH,20210908,当虹科技,软件服务,科创板,71.75,85.98,85.98,71.75,71.65,14.33,20.00,9.04,3.81,66.89,4.68,354869.85,20191211
300710.SZ,20210908,万隆光电,通信设备,创业板,40.03,40.03,40.03,40.03,33.36,6.67,19.99,2.87,1.00,45.47,4.23,50766.05,20171019
300354.SZ,20210908,东华测试,电器仪表,创业板,31.51,38.06,38.06,31.36,31.72,6.34,19.99,11.83,2.05,104.54,12.30,332648.30,20120920
300220.SZ,20210908,金运激光,元器件,创业板,13.04,15.49,15.49,12.93,12.91,2.58,19.98,11.92,3.01,0.00,11.72,250232.05,20110525
300494.SZ,20210908,盛天网络,互联网,创业板,13.73,16.52,16.52,13.70,13.77,2.75,19.97,15.47,4.87,65.57,5.00,451640.68,20151231
600725.SH,20210908,云维股份,焦炭加工,主板,4.48,4.58,4.58,4.22,4.16,0.42,10.10,2.88,0.81,352.04,17.36,158148.21,19960702
002211.SZ,20210908,宏达新材,橡胶,中小板,4.40,4.80,4.80,4.39,4.36,0.44,10.09,5.39,1.32,39.39,3.14,99784.41,20080201
002433.SZ,20210908,太安堂,中成药,中小板,5.69,6.22,6.22,5.62,5.65,0.57,10.09,7.23,1.66,214.59,0.83,329077.69,20100618
600023.SH,20210908,浙能电力,火力发电,主板,3.68,4.04,4.04,3.67,3.67,0.37,10.08,1.70,2.43,9.03,0.81,907738.95,20131219
002517.SZ,20210908,恺英网络,互联网,中小板,4.40,4.59,4.59,4.40,4.17,0.42,10.07,3.47,2.26,55.53,3.21,261942.87,20101207
600744.SH,20210908,华银电力,火力发电,主板,7.12,7.76,7.76,7.12,7.05,0.71,10.07,17.84,2.01,398.98,5.00,1121190.81,19960905
600310.SH,20210908,桂东电力,水力发电,主板,4.92,4.92,4.92,4.92,4.47,0.45,10.07,1.46,0.83,19.89,2.47,59641.37,20010228
600578.SH,20210908,京能电力,火力发电,主板,3.08,3.39,3.39,3.07,3.08,0.31,10.06,1.47,1.40,16.21,0.99,325404.64,20020510
002060.SZ,20210908,粤水电,建筑工程,中小板,4.66,5.14,5.14,4.65,4.67,0.47,10.06,9.46,1.17,23.45,1.80,577126.96,20060810
600308.SH,20210908,华泰股份,造纸,主板,6.50,7.11,7.11,6.46,6.46,0.65,10.06,9.81,3.20,11.92,0.91,799584.41,20000928
600707.SH,20210908,彩虹股份,元器件,主板,8.18,8.98,8.98,8.11,8.16,0.82,10.05,4.92,2.83,0.00,1.43,1056261.85,19960520
002808.SZ,20210908,恒久科技,元器件,中小板,8.44,9.20,9.20,8.20,8.36,0.84,10.05,14.93,5.01,97.29,4.25,230372.83,20160812
002453.SZ,20210908,华软科技,软件服务,中小板,12.02,12.60,12.60,12.02,11.45,1.15,10.04,9.32,3.07,293.87,6.11,665135.54,20100720
000862.SZ,20210908,银星能源,新型电力,主板,8.22,8.22,8.22,8.22,7.47,0.75,10.04,3.03,0.21,169.22,2.10,125004.53,19980915
600618.SH,20210908,氯碱化工,化工原料,主板,14.47,14.47,14.47,14.47,13.15,1.32,10.04,0.50,0.12,27.58,2.91,53972.81,19921113
603299.SH,20210908,苏盐井神,食品,主板,9.29,9.98,9.98,9.15,9.07,0.91,10.03,6.11,1.79,52.09,1.87,333276.02,20151231
