ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000001.SZ ,20210412,21.51,21.51,20.63,20.7,21.3,-0.6,-2.8169,594743.14,1240067.319,20210412,20.7,0.3065,0.6915,1.3,13.8863,13.8863,1.3655,2.6162,2.6162,1.0531,1.0531,1940591.8198,1940575.4475,860111.3751,40170250.6699,40169911.7633,000001,平安银行,深圳,银行,主板,19910403
000002.SZ ,20210412,29.01,29.09,28.5,28.59,28.86,-0.27,-0.9356,635227.77,1826857.6,20210412,28.59,0.6537,0.9811,1.22,8.0006,8.0006,1.4794,0.7925,0.7925,3.5558,3.5558,1161773.2201,971755.3265,647474.2474,33215096.3627,27782484.7846,000002,万科A,深圳,全国地产,主板,19910129
000004.SZ ,20210412,17.37,17.48,17.06,17.09,17.4,-0.31,-1.7816,10923.07,18889.615,20210412,17.09,0.9488,1.3899,0.97,910.1047,40.0212,1.9459,26.0585,19.1822,,,16505.2625,11512.5619,7859.0544,282074.9361,196749.6829,000004,国华网安,深圳,软件服务,主板,19910114
000005.SZ ,20210412,2.28,2.32,2.28,2.3,2.28,0.02,0.8772,109300.59,25086.903,20210412,2.3,1.0331,1.2436,0.72,13.937,23.7377,1.5003,4.4057,12.0994,,,105853.6842,105794.6242,87889.9267,243463.4737,243327.6357,000005,世纪星源,深圳,环境保护,主板,19901210
000006.SZ ,20210412,5.3,5.42,5.24,5.32,5.32,0.0,0.0,65861.12,35070.468,20210412,5.32,0.4879,0.7743,0.95,8.3063,8.3063,0.9752,2.4472,2.4472,3.3647,3.3647,134999.5046,134999.5046,85060.6898,718197.3645,718197.3645,000006,深振业A,深圳,区域地产,主板,19920427
000007.SZ ,20210412,3.86,3.97,3.83,3.88,3.88,0.0,0.0,137494.0,53410.717,20210412,3.88,4.4504,6.3704,0.42,60.3126,,8.2049,31.9893,30.1697,,,34644.8044,30894.8044,21583.4267,134421.8411,119871.8411,000007,全新好,深圳,酒店餐饮,主板,19920413
000008.SZ ,20210412,2.32,2.33,2.3,2.33,2.32,0.01,0.431,159702.3,37030.131,20210412,2.33,0.5992,0.9964,1.34,14.9161,146.507,0.9014,2.0121,2.4795,0.4192,0.4192,278079.5346,266518.2273,160276.3816,647925.3156,620987.4696,000008,神州高铁,北京,运输设备,主板,19920507
000009.SZ ,20210412,9.61,9.7,9.31,9.4,9.63,-0.23,-2.3884,442027.89,419369.827,20210412,9.4,1.7325,2.3356,0.56,36.6365,36.6365,3.5026,2.2886,2.2886,0.2128,0.2128,257921.3965,255143.0324,189254.7397,2424461.1271,2398344.5046,000009,中国宝安,深圳,综合类,主板,19910625
000010.SZ ,20210412,4.09,4.15,4.03,4.05,4.12,-0.07,-1.699,96013.0,39215.274,20210412,4.05,1.8387,2.1337,0.5,71.4454,115.1583,6.9666,1.754,2.0955,,,81985.4713,52217.1498,44997.6834,332041.1588,211479.4567,000010,美丽生态,深圳,建筑工程,主板,19951027
000011.SZ ,20210412,13.15,13.16,12.51,12.65,13.15,-0.5,-3.8023,123693.15,157748.711,20210412,12.65,2.3495,6.6137,0.91,9.4408,9.4408,2.0223,1.8369,1.8369,2.8458,2.8458,59597.9092,52647.5543,18702.6342,753913.5514,665991.5619,000011,深物业A,深圳,区域地产,主板,19920330
